year,state,region,state_code,bank_type,sector,priority_classification,credit_crore
2017,Maharashtra,West,IN-MH,Public Sector Banks,Agriculture,Priority,68.13
2017,Maharashtra,West,IN-MH,Public Sector Banks,Manufacturing,Non-priority,95.57
2017,Maharashtra,West,IN-MH,Public Sector Banks,Services,Non-priority,112.93
2017,Maharashtra,West,IN-MH,Public Sector Banks,Retail Loans,Non-priority,83.52
2017,Maharashtra,West,IN-MH,Public Sector Banks,MSME,Priority,50.16
2017,Maharashtra,West,IN-MH,Public Sector Banks,Housing,Priority,34.97
2017,Maharashtra,West,IN-MH,Private Sector Banks,Agriculture,Priority,78.95
2017,Maharashtra,West,IN-MH,Private Sector Banks,Manufacturing,Non-priority,106.08
2017,Maharashtra,West,IN-MH,Private Sector Banks,Services,Non-priority,133.95
2017,Maharashtra,West,IN-MH,Private Sector Banks,Retail Loans,Non-priority,95.16
2017,Maharashtra,West,IN-MH,Private Sector Banks,MSME,Priority,60.79
2017,Maharashtra,West,IN-MH,Private Sector Banks,Housing,Priority,42.53
2017,Maharashtra,West,IN-MH,Regional Rural Banks,Agriculture,Priority,10.49
2017,Maharashtra,West,IN-MH,Regional Rural Banks,Manufacturing,Non-priority,13.15
2017,Maharashtra,West,IN-MH,Regional Rural Banks,Services,Non-priority,15.27
2017,Maharashtra,West,IN-MH,Regional Rural Banks,Retail Loans,Non-priority,12.19
2017,Maharashtra,West,IN-MH,Regional Rural Banks,MSME,Priority,7.51
2017,Maharashtra,West,IN-MH,Regional Rural Banks,Housing,Priority,4.85
2018,Maharashtra,West,IN-MH,Public Sector Banks,Agriculture,Priority,83.76
2018,Maharashtra,West,IN-MH,Public Sector Banks,Manufacturing,Non-priority,108.84
2018,Maharashtra,West,IN-MH,Public Sector Banks,Services,Non-priority,126.54
2018,Maharashtra,West,IN-MH,Public Sector Banks,Retail Loans,Non-priority,96.32
2018,Maharashtra,West,IN-MH,Public Sector Banks,MSME,Priority,59.52
2018,Maharashtra,West,IN-MH,Public Sector Banks,Housing,Priority,40.56
2018,Maharashtra,West,IN-MH,Private Sector Banks,Agriculture,Priority,105.71
2018,Maharashtra,West,IN-MH,Private Sector Banks,Manufacturing,Non-priority,140.96
2018,Maharashtra,West,IN-MH,Private Sector Banks,Services,Non-priority,154.02
2018,Maharashtra,West,IN-MH,Private Sector Banks,Retail Loans,Non-priority,113.77
2018,Maharashtra,West,IN-MH,Private Sector Banks,MSME,Priority,76.43
2018,Maharashtra,West,IN-MH,Private Sector Banks,Housing,Priority,49.5
2018,Maharashtra,West,IN-MH,Regional Rural Banks,Agriculture,Priority,11.18
2018,Maharashtra,West,IN-MH,Regional Rural Banks,Manufacturing,Non-priority,14.17
2018,Maharashtra,West,IN-MH,Regional Rural Banks,Services,Non-priority,16.89
2018,Maharashtra,West,IN-MH,Regional Rural Banks,Retail Loans,Non-priority,11.91
2018,Maharashtra,West,IN-MH,Regional Rural Banks,MSME,Priority,8.0
2018,Maharashtra,West,IN-MH,Regional Rural Banks,Housing,Priority,5.81
2019,Maharashtra,West,IN-MH,Public Sector Banks,Agriculture,Priority,95.95
2019,Maharashtra,West,IN-MH,Public Sector Banks,Manufacturing,Non-priority,116.92
2019,Maharashtra,West,IN-MH,Public Sector Banks,Services,Non-priority,143.51
2019,Maharashtra,West,IN-MH,Public Sector Banks,Retail Loans,Non-priority,111.81
2019,Maharashtra,West,IN-MH,Public Sector Banks,MSME,Priority,71.29
2019,Maharashtra,West,IN-MH,Public Sector Banks,Housing,Priority,46.97
2019,Maharashtra,West,IN-MH,Private Sector Banks,Agriculture,Priority,113.69
2019,Maharashtra,West,IN-MH,Private Sector Banks,Manufacturing,Non-priority,145.19
2019,Maharashtra,West,IN-MH,Private Sector Banks,Services,Non-priority,179.92
2019,Maharashtra,West,IN-MH,Private Sector Banks,Retail Loans,Non-priority,128.95
2019,Maharashtra,West,IN-MH,Private Sector Banks,MSME,Priority,85.21
2019,Maharashtra,West,IN-MH,Private Sector Banks,Housing,Priority,62.32
2019,Maharashtra,West,IN-MH,Regional Rural Banks,Agriculture,Priority,13.1
2019,Maharashtra,West,IN-MH,Regional Rural Banks,Manufacturing,Non-priority,18.35
2019,Maharashtra,West,IN-MH,Regional Rural Banks,Services,Non-priority,20.66
2019,Maharashtra,West,IN-MH,Regional Rural Banks,Retail Loans,Non-priority,14.52
2019,Maharashtra,West,IN-MH,Regional Rural Banks,MSME,Priority,9.65
2019,Maharashtra,West,IN-MH,Regional Rural Banks,Housing,Priority,6.69
2020,Maharashtra,West,IN-MH,Public Sector Banks,Agriculture,Priority,99.37
2020,Maharashtra,West,IN-MH,Public Sector Banks,Manufacturing,Non-priority,127.23
2020,Maharashtra,West,IN-MH,Public Sector Banks,Services,Non-priority,167.74
2020,Maharashtra,West,IN-MH,Public Sector Banks,Retail Loans,Non-priority,113.91
2020,Maharashtra,West,IN-MH,Public Sector Banks,MSME,Priority,71.71
2020,Maharashtra,West,IN-MH,Public Sector Banks,Housing,Priority,47.43
2020,Maharashtra,West,IN-MH,Private Sector Banks,Agriculture,Priority,122.06
2020,Maharashtra,West,IN-MH,Private Sector Banks,Manufacturing,Non-priority,152.56
2020,Maharashtra,West,IN-MH,Private Sector Banks,Services,Non-priority,190.05
2020,Maharashtra,West,IN-MH,Private Sector Banks,Retail Loans,Non-priority,148.28
2020,Maharashtra,West,IN-MH,Private Sector Banks,MSME,Priority,93.07
2020,Maharashtra,West,IN-MH,Private Sector Banks,Housing,Priority,65.47
2020,Maharashtra,West,IN-MH,Regional Rural Banks,Agriculture,Priority,14.86
2020,Maharashtra,West,IN-MH,Regional Rural Banks,Manufacturing,Non-priority,19.12
